fips,estado,pais,Lat,Long,January_22,January_23,January_24,January_25,January_26,January_27,January_28,January_29,January_30,January_31,Feburary_1,Feburary_2,Feburary_3,Feburary_4,Feburary_5,Feburary_6,Feburary_7,Feburary_8,Feburary_9,Feburary_10,Feburary_11,Feburary_12,Feburary_13,Feburary_14,Feburary_15,Feburary_16,Feburary_17,Feburary_18,Feburary_19,Feburary_20,Feburary_21,Feburary_22,Feburary_23,Feburary_24,Feburary_25,Feburary_26,Feburary_27,Feburary_28,Feburary_29,March_1,March_2,March_3,March_4,March_5,March_6,March_7,March_8,March_9,March_10,March_11,March_12,March_13,March_14,March_15,March_16,March_17,March_18,March_19,March_20,March_21,March_22,March_23,March_24,March_25,March_26,March_27,March_28,March_29,March_30,March_31,April_1,April_2,April_3,April_4,April_5,April_6,April_7,April_8,April_9,April_10,April_11,April_12,April_13,April_14,April_15,April_16,April_17,April_18,April_19,April_20,April_21,April_22
0,Nacional,Mexico,,,56,46,46,15,33,43,50,30,39,31,7,12,13,51,44,44,29,8,16,71,49,40,35,31,8,17,28,31,30,22,25,12,9,31,32,38,39,63,24,27,81,73,66,63,53,23,31,77,97,107,176,222,113,130,190,365,404,482,476,329,266,700,967,1097,1036,1236,606,595,1348,1203,1209,1342,1362,827,572,1424,1496,1619,1200,1411,765,666,1822,1759,1505,1438,1565,633,520,1261,609,150
1,AGUASCALIENTES,Mexico,,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0,2,0,3,2,0,1,0,3,1,4,1,1,10,8,5,17,12,17,12,20,18,33,26,37,35,17,29,39,27,40,43,40,30,11,39,32,30,2,16,23,13,42,40,58,32,20,10,18,23,1,0
2,BAJA CALIFORNIA,Mexico,,,2,1,2,0,0,3,0,1,1,2,1,0,2,0,4,2,0,0,1,0,1,1,0,0,0,0,1,2,1,0,2,1,2,0,1,0,0,0,1,0,3,5,3,0,0,1,0,5,4,4,5,13,3,2,8,11,26,20,36,18,11,59,44,54,50,53,29,16,49,42,40,34,25,14,8,31,33,30,26,43,23,10,30,50,28,33,20,8,5,14,0,0
3,BAJA CALIFORNIA SUR,Mexico,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,1,2,0,1,0,3,2,1,2,2,1,1,3,3,6,2,6,6,0,11,9,17,14,18,7,10,28,31,29,28,27,21,13,57,33,44,41,19,19,12,43,33,36,23,10,3,3,8,9,3
4,CAMPECHE,Mexico,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,3,5,2,5,6,6,3,7,5,2,1,5,8,6,2,2,2,23,19,10,7,9,3,5,1,20,2,0
5,COAHUILA,Mexico,,,5,3,2,0,0,5,5,5,2,5,0,1,2,7,2,4,0,1,0,4,3,1,1,1,1,0,4,6,3,2,0,0,1,4,3,3,5,3,1,1,0,3,2,2,0,1,4,4,6,2,4,3,2,5,8,6,12,11,11,12,14,9,20,42,31,53,21,36,66,50,46,87,110,59,73,131,122,115,73,113,50,28,106,102,73,139,98,34,8,44,22,1
6,COLIMA,Mexico,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,3,3,0,0,2,0,0,3,2,0,1,1,6,8,5,3,1,1,3,5,5,8,3,5,0,3,1,3,5,1,0,6,1,4,3,5,2,2,1,0,1,0,0
7,CHIAPAS,Mexico,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,2,1,2,2,3,7,1,2,14,7,6,17,7,10,15,19,19,19,15,9,5,10,9,16,3,7,6,4,13,18,13,10,13,11,3,12,12,1
8,CHIHUAHUA,Mexico,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,1,0,0,1,0,1,1,2,2,0,6,1,7,7,2,6,6,4,18,14,15,7,7,16,14,7,13,8,11,9,14,11,15,18,12,11,14,27,20,22,16,8,2,11,16,4,0
9,DISTRITO FEDERAL,Mexico,,,8,10,11,2,13,6,9,3,6,4,0,0,0,11,11,2,5,1,5,17,7,3,4,6,2,1,3,3,3,1,6,2,1,7,4,8,12,12,3,3,22,6,14,15,14,6,7,19,27,33,53,49,36,28,39,75,84,93,79,33,20,64,147,146,125,184,66,66,143,144,124,196,241,96,62,226,325,390,280,300,118,88,388,450,386,358,414,81,83,299,176,34
